fen,outcome,side_to_move
5k2/R2r1ppp/1p6/1P1nP3/2r2P1n/6NP/6P1/R5K1 b - - 0 41,0.0,b
5k2/R4ppp/1p6/1P1nP3/5P1n/6NP/5KP1/2r5 b - - 2 43,0.0,b
R4k2/5ppp/1p6/1P2P3/5n1n/7P/2r1NKP1/8 b - - 3 45,0.0,b
R7/4kppp/1p6/1P2P3/7K/7P/2r1n1P1/8 b - - 0 47,0.0,b
R7/4kpp1/1p5p/1P2P2K/2r5/7P/4n1P1/8 b - - 1 49,0.0,b
r1b2rk1/pp3ppp/1np2n2/3pp3/2P5/qP2P3/P2PNPPP/1BRQ1RK1 w - - 4 12,0.0,w
r1b3k1/pp3ppp/1np2n2/3rp3/8/qP2P3/P2PNPPP/1BRQR1K1 w - - 0 14,0.0,w
r1b3k1/pp1r1ppp/1npq1n2/4p3/8/1PN1P3/P1RP1PPP/1B1QR1K1 w - - 4 16,0.0,w
r1b3k1/pp1r1ppp/1npq1n2/4p3/8/1P2PQ2/P1RPNPPP/1B2R1K1 w - - 8 18,0.0,w
r1br2k1/pp3ppp/1npq1n2/8/4p3/1P2P1N1/P1RP1PPP/1B1QR1K1 w - - 2 20,0.0,w
r1br2k1/pp3ppp/1nq5/8/4n3/1P2P3/P2P1PPP/1B1QR1K1 w - - 0 22,0.0,w
r1br2k1/pp3ppp/1n4q1/8/8/1P1PP3/P4PPP/3QR1K1 w - - 1 24,0.0,w
r1r3k1/ppQ2ppp/1n4q1/5b2/8/1P1PP3/P4PPP/4R1K1 w - - 5 26,0.0,w
1rr3k1/Q4ppp/1n4q1/8/8/1P1bP3/P4PPP/4R1K1 w - - 0 28,0.0,w
1rr3k1/5ppp/1n4q1/3b4/8/QP2P1P1/P4P1P/4R1K1 w - - 1 30,0.0,w
1rr3k1/5ppp/1n6/Q2b4/8/1P2PqP1/P6P/4R1K1 w - - 0 32,0.0,w
1rr3k1/5ppp/8/3n4/8/1P2q1P1/P6P/5RK1 w - - 0 34,0.0,w
1r4k1/5ppp/7q/3n4/8/1P4PK/P1r4P/5R2 w - - 4 36,0.0,w
rnbqkb1r/pp3ppp/2p2n2/4p3/2Pp4/4P3/PPQPBPPP/RNB2RK1 w kq - 0 6,1.0,w
rnbqk2r/pp3ppp/2p2n2/4b3/2P5/8/PPQPBPPP/RNB2RK1 w kq - 0 8,1.0,w
r1bqk2r/pp3ppp/2n2n2/2p1b3/2P5/2N5/PPQPBPPP/R1B1R1K1 w kq - 2 10,1.0,w
r1bq1rk1/p4ppp/2p2n2/2p1b3/2P5/2N5/PPQP1PPP/R1B1R1K1 w - - 0 12,1.0,w
r3qrk1/p4ppp/2p2n2/2p1bb2/2P5/N7/PPQP1PPP/R1B1R1K1 w - - 4 14,1.0,w
r4rk1/p4ppp/2p2n2/2p2Q2/2P5/N7/PP1P1PPK/R1B1q3 w - - 0 16,1.0,w
r1q2rk1/p4ppp/2p2n2/2Q5/2P2P2/N7/PP1P2PK/R1B5 w - - 1 18,1.0,w
r3r1k1/p2q1ppp/2p2n2/8/2P2P2/8/PPNP2PK/R1B3Q1 w - - 5 20,1.0,w
r5k1/p2qrppp/2p5/8/2P1nP2/4N1K1/PP1P2P1/R1B3Q1 w - - 9 22,1.0,w
r5k1/p3rppp/2p5/8/2P2P1K/4N3/PP1q2P1/R5Q1 w - - 0 24,1.0,w
r5k1/p3rppp/8/3p4/2P2P1K/8/Pq4P1/3R2Q1 w - - 0 26,1.0,w
r5k1/p4ppp/3P4/8/4rP1K/8/q5P1/3R2Q1 w - - 1 28,1.0,w
r5k1/R4ppp/3Pq3/8/5r1K/8/6P1/6Q1 w - - 0 30,1.0,w
r5k1/R4ppp/3P4/8/5rq1/8/6P1/6QK w - - 4 33,1.0,w
R6k/3P1ppp/8/8/5rq1/8/6PK/6Q1 b - - 0 35,1.0,b
5k2/p1rr1ppp/1p6/1P2P3/4nP1n/R6P/4N1P1/R5K1 w - - 1 41,0.5,w
8/p1rrkppp/1p6/1P2Pn2/4nP2/R5PP/4N1K1/R7 w - - 3 43,0.5,w
8/p2rkppp/1p6/1P2P3/4nPPn/R6P/2r1N3/R5K1 w - - 3 45,0.5,w
8/p1rrkppp/1p6/1P2PP2/6Pn/R6P/3nN3/R4K2 w - - 1 47,0.5,w
8/p1r1kppp/1p6/1P1rPP2/4n1Pn/R6P/4N3/R5K1 w - - 5 49,0.5,w
8/p1r2kpp/1p6/1r3P2/4n1Pn/R6P/4N3/R5K1 w - - 0 51,0.5,w
8/R1r2kpp/1p6/1r3P2/6P1/5n1P/4Nn2/R6K w - - 3 53,0.5,w
8/R1r2kpp/1p6/2r2Pn1/6P1/7P/4NK2/R7 w - - 1 55,0.5,w
8/4rkpp/1p6/5Pn1/6P1/R6P/4NK2/8 w - - 2 57,0.5,w
8/2r2kpp/1p6/5P2/4n1P1/R6P/8/2N2K2 w - - 6 59,0.5,w
8/2r1k1pp/8/1p3P2/4n1P1/R2N3P/6K1/8 w - - 0 61,0.5,w
8/4k1pp/8/1p3P2/6PP/R2N4/2rn4/5K2 w - - 3 63,0.5,w
8/2r1k1pp/8/1p3P2/6PP/R2N1n2/8/3K4 w - - 7 65,0.5,w
8/4k1pp/8/1p3P2/6Pn/1R1N4/2r1K3/8 w - - 2 67,0.5,w
3r4/4k1pp/8/1R3P2/6Pn/3NK3/8/8 w - - 1 69,0.5,w
3r4/1R4pp/5k2/5P2/6Pn/3NK3/8/8 w - - 5 71,0.5,w
2r5/6Rp/8/5kP1/7n/3NK3/8/8 w - - 1 73,0.5,w
4r3/7R/8/6k1/7n/3N4/5K2/8 w - - 0 75,0.5,w
4r3/2R5/5k2/5n2/8/3N4/5K2/8 w - - 4 77,0.5,w
4r3/8/6k1/2R2n2/8/3N4/5K2/8 w - - 8 79,0.5,w
4r3/8/5k2/3R4/8/4n3/5K2/2N5 w - - 12 81,0.5,w
4r3/3R4/6k1/8/8/4n3/5K2/2N5 w - - 16 83,0.5,w
4r3/8/3R4/5n1k/8/3N4/5K2/8 w - - 20 85,0.5,w
8/8/R7/5nk1/8/3Nr3/5K2/8 w - - 24 87,0.5,w
4r3/8/R7/5n2/5k2/5N2/5K2/8 w - - 28 89,0.5,w
8/8/3n4/8/4rk2/5N2/5K2/R7 w - - 32 91,0.5,w
8/8/8/6k1/2n1r3/3N4/5K2/R7 w - - 36 93,0.5,w
8/8/8/8/2r3k1/3N4/5K2/8 w - - 0 95,0.5,w
8/8/8/8/2N1k3/8/5K2/8 w - - 1 97,0.5,w
8/8/8/6k1/8/8/5K2/3N4 w - - 5 99,0.5,w
8/8/8/8/6k1/8/5K2/3N4 w - - 9 101,0.5,w
8/8/5k2/8/4K3/8/8/3N4 w - - 13 103,0.5,w
8/8/8/3K2k1/8/4N3/8/8 w - - 17 105,0.5,w
8/5k2/8/4K3/8/8/2N5/8 w - - 21 107,0.5,w
8/8/3K4/6k1/8/4N3/8/8 w - - 25 109,0.5,w
8/8/8/3K2k1/2N5/8/8/8 w - - 29 111,0.5,w
8/8/8/N3K3/8/6k1/8/8 w - - 33 113,0.5,w
8/8/8/5K2/2N5/8/5k2/8 w - - 37 115,0.5,w
8/8/8/8/2N5/4K1k1/8/8 w - - 41 117,0.5,w
8/8/8/4N2k/5K2/8/8/8 w - - 45 119,0.5,w
rnb2rk1/pp2qppp/2p2n2/3pp3/2P5/bP2P3/PBBPNPPP/1R1QK2R b K - 9 9,0.0,b
rn2qrk1/pp3ppp/2p1bB2/3p4/2P5/bP2P3/P1BPNPPP/1R1QK2R b K - 0 11,0.0,b
r3qrk1/pp1n1p1p/2p1bp2/3p3Q/2PN4/bP2P3/P1BP1PPP/1R2K2R b K - 3 13,0.0,b
r3Qrk1/pp1n3p/2p1p3/3p1p2/2P5/bP2P3/P1BP1PPP/1R2K2R b K - 0 15,0.0,b
4rr2/pp1n2kp/2p1p3/3p1p2/2P5/bP2PK2/P1BP1PPP/1R5R b - - 3 17,0.0,b
4rr2/pp4kp/2p1p3/4np2/2P2K2/b3P3/P1BP1PPP/1R5R b - - 2 19,0.0,b
4r3/p4Rkp/2p1p3/5p2/2n2K2/b3P3/P1BP1PPP/7R b - - 0 21,0.0,b
4r3/p4k1p/2pbp3/5B2/2n1K3/4P3/P2P1PPP/7R b - - 2 23,0.0,b
4r3/p4k1p/2pb4/4np2/8/4P3/P1KP1PPP/7R b - - 3 25,0.0,b
