fen,outcome,side_to_move
4r3/1p3ppp/8/1k4b1/4n3/5P2/1N4K1/8 b - - 0 64,0.0,b
4r3/1p3ppp/5b2/1k6/8/3N1PK1/3n4/8 b - - 4 66,0.0,b
4r3/1p3ppp/5b2/1k6/5PK1/3N4/3n4/8 b - - 0 68,0.0,b
4r3/1p3ppp/8/8/2k2P2/6K1/1b1n4/2N5 w - - 4 71,0.0,w
4r3/1p3ppp/8/8/5P2/8/kb1n1K2/8 w - - 0 73,0.0,w
4r3/1p3ppp/8/8/5P2/2b3K1/1k1n4/8 w - - 4 75,0.0,w
4r3/1p3ppp/8/4bP2/4n3/8/1k3K2/8 w - - 3 77,0.0,w
4r3/1p3ppp/3n1b2/8/8/5K2/1k6/8 w - - 0 79,0.0,w
8/1p3ppp/3n4/8/3b4/4rK2/1k6/8 w - - 4 81,0.0,w
8/1p3ppp/3n4/8/3b4/2r5/1k4K1/8 w - - 8 83,0.0,w
8/1p3ppp/8/8/3bn3/8/1kr3K1/8 w - - 12 85,0.0,w
1r2r1k1/2pq2b1/1p1p1npp/pPnPpp2/P3P3/2RP1PP1/1B4BP/Q3R1K1 b - - 2 24,1.0,b
1r4k1/2pqr1b1/1p1p1npp/pPnPp3/P3P3/2R2PP1/1B3KBP/Q3R3 b - - 2 26,1.0,b
1r2q1k1/2p2rb1/1p1p1npp/pPnPp3/P3P3/2R2PP1/1B2K1BP/Q1R5 b - - 6 28,1.0,b
1r2q1k1/2p1br2/1p1p1npp/pPnPp3/P1R1P3/5PP1/1BR1K1BP/Q7 b - - 10 30,1.0,b
1r2q1k1/2p1br2/1p1p1npp/pP1Pp3/P1RBP3/Q4PP1/2R1K1BP/8 b - - 0 32,1.0,b
1r2qk2/2R1br2/1p1p1npp/pP1P4/P2pP3/5PP1/2R1K1BP/2Q5 b - - 2 34,1.0,b
1r2q3/2R1brk1/1p1p1npp/pP1P4/P3P3/2K2PP1/2R3BP/2Q5 b - - 2 36,1.0,b
1r2q1k1/2R1br2/1p1p2pp/pP1P4/P7/2K1QPP1/2R3BP/8 b - - 0 38,1.0,b
1r4k1/2R2r2/1p1p1bpp/pP1P4/P7/4KPP1/2R3BP/8 b - - 0 40,1.0,b
4r1k1/2R5/1p1p1bpp/pP1P4/P7/3K1PP1/6BP/8 b - - 0 42,1.0,b
6k1/2R5/1p1p1bpp/pP1P3r/P4P2/3K2PP/6B1/8 b - - 0 44,1.0,b
6kb/8/1pRp2pp/pP1P3r/P4P2/3K2PP/6B1/8 b - - 4 46,1.0,b
7b/4k3/1p4Rp/pP1P3r/P4P2/3K2PP/6B1/8 b - - 0 48,1.0,b
8/5k2/1p1P1R1p/pP5r/P4P2/3K2PP/6B1/8 b - - 0 50,1.0,b
8/8/1p1Pk2p/pPr5/P4PP1/3K3P/6B1/8 b - - 2 53,1.0,b
8/8/1p1P3p/pP1k4/P4PP1/4K2P/8/8 b - - 1 55,1.0,b
8/8/1p5p/pP1k2P1/P4P1P/4K3/8/8 b - - 0 57,1.0,b
8/8/1p1k4/pP4P1/P3KP2/8/8/8 b - - 2 59,1.0,b
8/6k1/1p6/pP3KP1/P4P2/8/8/8 w - - 6 62,1.0,w
5k2/8/1p3KP1/pP6/P4P2/8/8/8 w - - 3 64,1.0,w
8/6Pk/1p3K2/pP3P2/P7/8/8/8 w - - 1 66,1.0,w
6Q1/5K2/1p6/pP3P1k/P7/8/8/8 w - - 1 68,1.0,w
8/5K1k/1p6/pP3P2/P5Q1/8/8/8 w - - 5 70,1.0,w
5rk1/1pb2pp1/p1p1r3/P1Pp1bNn/1P1BnP2/3BP3/6RP/3q1RK1 w - - 0 28,1.0,w
5rk1/1pb2pp1/p1p5/P1Pp1b1n/1P1BNP2/3BP3/6rP/3R2K1 w - - 0 30,1.0,w
5rk1/1pb2pp1/p1p5/P1Pp4/1P1BbP2/3B4/6KP/3R4 w - - 0 32,1.0,w
3r2k1/1pb2pp1/p1p5/P1P2P2/1P1Bp3/8/6KP/3R4 w - - 1 34,1.0,w
3R2k1/1p3pp1/p1p5/P1P1bP2/1P2p3/2B5/6KP/8 w - - 0 37,1.0,w
8/1p3pb1/p1p5/P1P2P2/1P2p3/8/6KP/8 w - - 0 39,1.0,w
8/1p3pb1/p1p5/P1P2P2/1P5P/8/4p1K1/8 w - - 0 41,1.0,w
5b2/1p3p2/p7/PpP2P1P/8/8/4p1K1/8 w - - 1 43,1.0,w
5b2/5p2/p4P2/Ppp4P/8/8/4p1K1/8 w - - 0 45,1.0,w
8/5p2/p4P1b/Ppp5/8/8/8/4q2K w - - 0 47,1.0,w
8/5p2/p4P1b/1pp5/8/8/3q3K/8 w - - 2 49,1.0,w
8/5p2/p4P1b/1pp5/8/5q1K/8/8 w - - 6 51,1.0,w
5b2/5p2/p4P2/2p3K1/1p6/5q2/8/8 w - - 0 53,1.0,w
5b2/5p2/p4P2/2p4K/1p6/7q/8/8 w - - 4 55,1.0,w
5b2/5p2/p4P2/2p5/5K2/7q/1p6/8 w - - 0 57,1.0,w
5b2/5p2/p4P2/3K4/2p5/5q2/1p6/8 w - - 2 59,1.0,w
5b2/5p2/p4P2/8/3Kq3/5q2/8/8 w - - 2 61,1.0,w
2r2rk1/ppnR1p1p/5p2/1N6/2P5/8/PP3PPP/5BK1 b - - 2 20,1.0,b
3r2k1/ppN2p1p/5p2/8/2P5/8/PP3PPP/5BK1 b - - 0 22,1.0,b
6k1/pp3p1p/5N2/5p2/2P5/8/PP1r1PPP/5BK1 b - - 1 24,1.0,b
8/pp3p1p/6k1/5p2/2P2N2/8/PP1r1PPP/5BK1 b - - 5 26,1.0,b
8/pp3p1p/7k/2P2p2/8/3N4/PPr2PPP/5BK1 b - - 0 28,1.0,b
8/pp3p1p/2P5/5pk1/1N6/8/Pr3PPP/5BK1 b - - 0 30,1.0,b
8/ppP2p1p/8/5p2/1r3k2/8/P5PP/5BK1 b - - 0 32,1.0,b
8/pp3p1p/8/5p2/2Q2k2/8/r5PP/5BK1 b - - 1 34,1.0,b
8/pp3Q1p/8/4k3/5p2/8/6PP/5BK1 b - - 0 36,1.0,b
8/Q6p/1p6/4k3/8/5P2/7P/5BK1 b - - 0 38,1.0,b
8/7Q/1p6/8/5k2/5P2/5K1P/5B2 b - - 2 40,1.0,b
8/8/1Q1k4/8/8/5P2/5K1P/5B2 b - - 0 42,1.0,b
8/8/1Q6/4k3/8/5P2/5K1P/1B6 b - - 4 44,1.0,b
8/p3kp2/1p1n1p1p/3P3P/PP1K1PP1/3B4/8/8 w - - 1 38,1.0,w
8/p2k1p2/3n1p1p/Pp1P3P/1P3PP1/2KB4/8/8 w - - 0 40,1.0,w
8/p2k1p2/3n4/Pp1P2pP/1P6/2KB4/8/8 w - - 0 42,1.0,w
8/p2k1n1P/5p2/Pp1P2p1/1P6/2KB4/8/8 w - - 1 44,1.0,w
8/p4n1P/3k1p2/PB1P4/1P1K2p1/8/8/8 w - - 0 46,1.0,w
8/p4n1P/P2k4/3P1p2/1P1K4/6p1/8/5B2 w - - 0 48,1.0,w
8/p4n1P/PP1k4/3P1p2/3K4/8/6B1/8 b - - 0 50,1.0,b
Q7/4kn1P/1p6/3P1p2/3K4/8/6B1/8 b - - 0 52,1.0,b
Q7/3k1n2/1p3Q2/3P1p2/3K4/8/6B1/8 b - - 2 54,1.0,b
3Q4/8/1p1k4/3P1p2/3K4/8/6B1/8 b - - 1 56,1.0,b
1r2r1k1/2pq2bn/1p1p2pp/pPnPpp2/P3P3/2RP1PPB/1B5P/Q3R1K1 b - - 4 25,1.0,b
1r2r1k1/2pq2b1/1p1p2pp/pPnPp1n1/P3P3/2RP2P1/1B4BP/Q3R1K1 b - - 0 27,1.0,b
1r3rk1/2pq2b1/1p1p2pp/pP1Pp1n1/P3P3/2BR2P1/6BP/Q3R1K1 b - - 2 29,1.0,b
3r1rk1/2pq2b1/1p1p2pp/pP1Pp3/P3P3/2BR2PB/7P/2Q1R1K1 b - - 0 31,1.0,b
3r1rk1/2pq2b1/1p1p2pp/pP1Pp3/P3P3/2BRQ1P1/7P/4R1K1 b - - 3 33,1.0,b
3rq1k1/2p2rb1/1p1p2pp/pP1Pp3/P3P3/2B1Q1P1/3R2KP/4R3 b - - 7 35,1.0,b
3rq1k1/2p2r2/1p1p2pp/pP1Pp1b1/P3P3/2B3P1/4QRKP/4R3 b - - 11 37,1.0,b
3r2k1/2p1q3/1p1p2pp/pP1Pp1b1/P3P2P/2B3P1/5QK1/4R3 b - h3 0 39,1.0,b
5rk1/2p1q3/1p1p2pp/pP1Pp3/P3P2P/2B5/4Q1K1/4R3 b - - 0 41,1.0,b
5rk1/2p5/1p1p3p/pP1Pp1q1/P3P3/2B5/4Q3/4R2K b - - 1 43,1.0,b
5rk1/2p5/1p1p3p/pP1Pp1q1/P3P3/2B5/6Q1/4R1K1 b - - 5 45,1.0,b
5r2/2p3k1/1p1p3p/pP1Pp3/P3P3/2B5/6K1/2R5 b - - 2 47,1.0,b
8/2p2r2/1p1p1k1B/pP1Pp3/P3P3/8/6K1/2R5 b - - 0 49,1.0,b
8/2p1r3/1B1p2k1/pP1Pp3/P3P3/8/6K1/2R5 b - - 0 51,1.0,b
8/5r2/1R1p2k1/pP1Pp3/P3P3/8/6K1/8 b - - 0 53,1.0,b
8/5k2/3p1r2/RP1Pp3/P3P3/8/6K1/8 b - - 0 55,1.0,b
8/6k1/R2p1r2/PP1Pp3/4P3/8/6K1/8 b - - 0 57,1.0,b
5k2/R7/3p1r2/PP1Pp3/4P3/6K1/8/8 b - - 4 59,1.0,b
5k2/2R5/P2p1r2/1P1Pp3/4P3/6K1/8/8 b - - 2 61,1.0,b
4k3/P1R5/3p2r1/1P1Pp3/4P3/8/5K2/8 b - - 0 63,1.0,b
Q1k5/1R6/3p2r1/1P1Pp3/4P3/8/5K2/8 b - - 0 65,1.0,b
rn1qkb1r/pp3ppp/2p2n2/3pp2b/4P3/1B1P1P2/PPP1Q1PP/RNB1K2R w KQkq - 1 7,0.0,w
rn1qkb1r/pp3ppp/2p2nb1/4p3/3pP1P1/1B1P1P2/PPPNQ2P/R1B1K2R w KQkq - 1 9,0.0,w
rn1qnb1r/pp2kppp/2p3b1/4p1P1/2NpP3/1B1P1P2/PPP1Q2P/R1B1K2R w KQ - 1 11,0.0,w
r2qnb1r/pp1nkppp/6b1/2p1p1P1/1BNpP3/1B1P1P2/PPP1Q2P/R3K2R w KQ - 0 13,0.0,w
r1q1nb1r/pp1nkpp1/6bp/B1p1p1P1/2NpP3/1B1P1P2/PPP2Q1P/R3K2R w KQ - 0 15,0.0,w
r1q1nb2/pp1nkppr/6b1/2p1p3/2NpP3/1B1P1P2/PPPB1Q1P/R3K2R w KQ - 2 17,0.0,w
r1q1nb2/pp2kppr/5n2/2p1p3/2NpP3/1B1P4/PPPB1Q1P/R3K1R1 w Q - 1 19,0.0,w
r4b2/pp2kBpr/3n1n2/2p1N3/3pP3/3P3q/PPPB1Q1P/R3K1R1 w Q - 1 21,0.0,w
r1q2b2/pp2k1pr/5n2/2p1N3/3pn3/1B1P2R1/PPPB1Q1P/R3K3 w Q - 0 23,0.0,w
r1q2b2/pp1k2pr/6N1/2p5/3pn3/1B4R1/PPPB1Q1P/R3K3 w Q - 0 25,0.0,w
r1q2b2/pp4pr/1k4N1/2p5/3pQ3/1B4R1/PPPB3P/R3K3 w Q - 1 27,0.0,w
4rq2/pp4pQ/1k6/2p5/3p4/1B4R1/PPPB3P/R3K3 w Q - 1 29,0.0,w
4r3/pp4pQ/1k6/2p5/3p4/1B4R1/PPP4P/R2Kq3 w - - 0 31,0.0,w
2brr1k1/p3qppp/1p3nn1/2p5/8/1P2PQNP/P4PP1/1BR1R1K1 b - - 3 23,0.0,b
2brr1k1/p3qppp/1p3nB1/2p5/5Q2/1P2P1NP/P4PP1/2R1R1K1 b - - 0 25,0.0,b
2brr1k1/p4pp1/1p3np1/2p1q3/Q7/1P2P1NP/P4PP1/2R1R1K1 b - - 3 27,0.0,b
3rr1k1/Q2b1pp1/1p2qnp1/2p5/8/1P2PPNP/P5P1/2R1R1K1 b - - 0 29,0.0,b
3rr1k1/3b1pp1/1p1q2p1/2p5/4n3/QP2PP1P/P5P1/2R1R1K1 b - - 1 31,0.0,b
1q1rr1k1/3b1pp1/1p3np1/2p5/8/1P2PP1P/P4QP1/2R1R1K1 b - - 5 33,0.0,b
1q2r1k1/5pp1/1p3np1/2p2b2/8/1P2PP1P/P4QP1/3R2K1 b - - 0 35,0.0,b
4r1k1/2q2pp1/1p2bnp1/2p1P3/8/1P3P1P/P4QP1/3R2K1 b - - 0 37,0.0,b
4r1k1/5pp1/1p3np1/2p1q3/8/1P3P1P/2Q3P1/3R2K1 b - - 1 39,0.0,b
3R2k1/4rpp1/1p3np1/2p5/8/1P2qP1P/2Q3P1/5K2 b - - 5 41,0.0,b
4q1k1/5pp1/1p3np1/2p5/8/1P3P1P/2Q2KP1/8 b - - 1 43,0.0,b
6k1/5pp1/1p1q1np1/2p5/8/1P3P1P/2Q2KP1/8 b - - 5 45,0.0,b
6k1/5pp1/1p3np1/2p5/8/1P2qP1P/2Q3P1/5K2 b - - 9 47,0.0,b
5k2/5pp1/1p3np1/2p5/8/1q3P1P/6P1/4QK2 b - - 1 49,0.0,b
5k2/5pp1/1p3np1/2p5/3q4/5P1P/5QP1/6K1 b - - 5 51,0.0,b
5k2/5pp1/1p3np1/2p1q3/8/5PQP/6PK/8 b - - 9 53,0.0,b
5k2/5pp1/1p4p1/2pn4/8/5P1P/5KP1/8 b - - 2 55,0.0,b
8/4kpp1/1p4p1/3n4/2p5/5P1P/6P1/3K4 b - - 3 57,0.0,b
