number,loss,texel_scale,error_count
146,0.8337501661183159,1169.724001080452,0
147,0.8525997662952048,1065.1969339089878,0
148,0.8479613608434501,1087.0479712733757,0
149,0.8737787114291835,955.9133750819407,0
150,0.8425672437238759,1111.075782809523,0
151,0.8592617067681367,1023.2848367083001,0
152,0.8494933560717232,1066.5168873562527,0
153,0.8463521947978425,1078.9439278536224,0
154,0.8435613369788565,1101.246593644728,0
155,0.8849402327973507,924.7276892327363,0
156,0.8573395067610728,1027.2419576785749,0
157,0.8325471073413431,1177.4193227787791,0
158,0.8478876973731257,1085.5234965338796,0
159,0.8755664173909954,955.358226717572,0
160,0.8369744648712935,1147.7099354761249,0
161,0.8599192285529423,1026.8299875237003,0
162,0.8430211721560912,1104.8621892805445,0
163,0.8308963411553647,1182.3269278564949,0
164,0.8286920580929416,1198.5108622641794,0
165,0.8710621043190987,978.4705863965652,0
166,0.8444791679029702,1114.0239803453464,0
167,0.85385663135787,1066.5958087465192,0
168,0.8710069173253779,990.8327130099077,0
169,0.8479034300348303,1087.4365100192872,0
170,0.8472785051195577,1099.2351941469528,0
171,0.832526127342626,1170.576284007468,0
172,0.8529885595058453,1055.6887767812752,0
173,0.829622781679597,1196.2285629101807,0
174,0.8293945072938318,1194.7665390981363,0
175,0.836748522639295,1148.7773782509698,0
176,0.8592727984235111,1030.5033957881917,0
177,0.8537546988757962,1063.00672026121,0
178,0.8418147524416185,1124.3748287852573,0
179,0.9255093418938154,798.1409280267322,0
180,0.8596855359443074,1015.2424228681223,0
181,0.8413281260345032,1109.8326827157623,0
182,0.8301791807178582,1176.1624506171113,0
183,0.8595610107296769,1015.5178895116553,0
184,0.8987676080414562,876.6216381269361,0
185,0.8361580001884682,1155.4780543729773,0
186,0.848180789253238,1088.8910886842812,0
187,0.8308605523030133,1192.1146381230221,0
188,0.8359891163905472,1136.2746678614888,0
189,0.8306259515902213,1179.629770563386,0
190,0.8436166873309913,1090.8768329911209,0
191,0.8396951968126233,1117.8011510862173,0
192,0.8527558760706972,1062.2489302767917,0
193,0.8333934476054965,1174.9916121452666,0
194,0.846644287186537,1102.436404740963,0
195,0.8847857195947405,936.5827831400495,0
196,0.857452636039492,1047.8756514792299,0
197,0.8447863129801179,1104.3315807520282,0
198,0.8307235464717032,1182.9893182387214,0
199,0.8442953625296225,1106.9387550564593,0
200,0.863424099453639,1010.2853441780671,0
201,0.8415569032409467,1120.7537902477766,0
202,0.8397811766522778,1122.973992541079,0
203,0.905201567804593,858.010030728496,0
204,0.8366955246828417,1141.516946108311,0
205,0.8390991236206485,1124.2835128907927,0
206,0.8293993408788236,1197.1507575535954,0
207,0.8303711253878996,1193.6921668215812,0
208,0.83631200326316,1148.5930868696196,0
209,0.8414821508887189,1126.4249663192231,0
210,0.836765109606305,1135.4493648005437,0
211,0.8609286720598867,1009.7387246302193,0
212,0.8574590124143294,1033.5452070138713,0
213,0.8293168399042411,1183.531007987938,0
214,0.8726483369984257,960.3504176609619,0
215,0.8423013191034893,1110.723124825206,0
216,0.832269604473886,1176.2198160062435,0
217,0.8932180547493843,887.6909607645139,0
218,0.870403210597377,978.9622573399988,0
219,0.8484993255894869,1076.1746117412688,0
220,0.8360075076158174,1144.5199852959668,0
221,0.848057777000574,1081.5413893840685,0
222,0.8485342175077782,1081.8379501782438,0
223,0.8352707810453681,1155.58121674344,0
224,0.8647350920086648,1021.8124811421598,0
225,0.8388318303501865,1133.740913343649,0
226,0.8446262090981599,1103.1503154541424,0
227,0.83791892186432,1147.9156131740976,0
228,0.8541261805851612,1053.1887492175792,0
230,0.9770707317975237,933.6851406473327,0
231,0.909106549095921,1185.3334490504203,0
232,0.9083996137074642,1156.6226550365468,0
233,0.9312242135706432,1084.166652143466,0
234,0.939175578281698,1049.9456991803272,0
235,0.918288529304148,1138.1138839605924,0
236,0.9450748264929102,1040.9739401527404,0
