target_cp,original_eval,fitted_eval
201.000000,-60.000000,2317.442730
-81.000000,-207.000000,-9.453024
-534.000000,574.000000,59.222170
78.000000,98.000000,406.485004
-15.000000,-155.000000,-199.463378
0.000000,-144.000000,1028.146125
-129.000000,-212.000000,-165.890988
499.000000,426.000000,202.573038
41.000000,8.000000,-295.360528
-553.000000,8.000000,700.339608
310.000000,33.000000,2219.523656
-161.000000,-623.000000,-2895.119644
41.000000,-214.000000,-93.552854
67.000000,-485.000000,650.316397
53.000000,97.000000,628.338274
-604.000000,-710.000000,-6114.071704
-29.000000,-254.000000,268.246759
5.000000,-203.000000,1212.399777
11.000000,-80.000000,-377.147731
-92.000000,-657.000000,-531.340308
-395.000000,-515.000000,-1657.467943
49.000000,-28.000000,-439.487751
-130.000000,-399.000000,-258.505601
58.000000,613.000000,910.145690
-387.000000,112.000000,-427.722691
-392.000000,-183.000000,-667.671637
0.000000,45.000000,-1541.816864
-71.000000,-293.000000,283.308297
-27.000000,-307.000000,-2465.994771
38.000000,-351.000000,-103.075551
-11.000000,-518.000000,-450.130613
-201.000000,-347.000000,-2068.315624
125.000000,-367.000000,109.254794
-53.000000,101.000000,-348.813270
70.000000,-577.000000,471.307868
-421.000000,-308.000000,-2121.409840
-271.000000,-495.000000,-1799.678153
113.000000,368.000000,-332.127282
-240.000000,-209.000000,-1972.724969
0.000000,249.000000,1517.037469
-69.000000,-659.000000,-518.053612
20.000000,283.000000,-813.993987
14.000000,22.000000,-503.277347
-135.000000,-41.000000,900.371157
36.000000,-318.000000,-55.385646
66.000000,-7.000000,920.103217
65.000000,-22.000000,387.908530
28.000000,-73.000000,255.085395
-103.000000,-522.000000,1005.459635
93.000000,-178.000000,-275.186519
132.000000,-120.000000,-566.034396
94.000000,-16.000000,-91.913256
115.000000,-245.000000,52.148318
-156.000000,-644.000000,34.196166
-153.000000,-591.000000,-16.063197
-166.000000,-659.000000,-208.029748
125.000000,-429.000000,-107.257505
356.000000,129.000000,2080.465441
2.000000,219.000000,-329.976000
408.000000,187.000000,969.586019
88.000000,-10.000000,1153.870500
64.000000,-34.000000,449.649714
8.000000,-326.000000,-568.484264
79.000000,-424.000000,-121.103596
113.000000,-456.000000,-129.585516
171.000000,-156.000000,257.069239
-363.000000,-313.000000,-1894.631261
-38.000000,-401.000000,523.662274
-838.000000,-687.000000,-3777.639553
37.000000,-195.000000,168.778458
26.000000,240.000000,67.321005
566.000000,-521.000000,3885.463634
61.000000,251.000000,491.164839
-13.000000,-535.000000,-931.425378
27.000000,-252.000000,-347.635074
24.000000,-593.000000,-82.214077
426.000000,227.000000,-407.850430
429.000000,16.000000,764.085388
102.000000,-431.000000,-424.403176
53.000000,-283.000000,38.335370
88.000000,-24.000000,-194.018274
-647.000000,-555.000000,-6228.561035
24.000000,149.000000,175.037898
17.000000,149.000000,175.037898
-347.000000,373.000000,-2757.144933
11.000000,-383.000000,122.343138
50.000000,-364.000000,-272.091305
62.000000,-265.000000,385.922667
67.000000,-246.000000,-326.440921
103.000000,-568.000000,47.797667
0.000000,38.000000,-1204.677248
379.000000,-294.000000,1918.104791
40.000000,-105.000000,-120.468197
65.000000,-374.000000,-178.091056
9.000000,-480.000000,-287.158698
31.000000,269.000000,1436.012068
63.000000,-22.000000,387.908530
-442.000000,-675.000000,-5618.309479
101.000000,-50.000000,-245.372602
-250.000000,-62.000000,-1388.059859
-343.000000,-482.000000,-140.071362
-337.000000,-61.000000,90.101629
-459.000000,-431.000000,-1214.095165
18.000000,-2.000000,-114.139666
10.000000,165.000000,355.760051
-47.000000,177.000000,-756.604926
319.000000,-488.000000,1330.303849
-15.000000,436.000000,383.917752
-232.000000,-440.000000,-744.773643
-38.000000,-575.000000,527.173243
-37.000000,128.000000,-44.574026
26.000000,153.000000,102.219048
63.000000,-458.000000,-255.224349
-43.000000,-32.000000,-512.544828
-468.000000,-351.000000,-3463.021365
-14.000000,-500.000000,146.577474
-275.000000,-288.000000,294.925100
317.000000,202.000000,1232.703364
-441.000000,-640.000000,-4246.781342
59.000000,-286.000000,163.265528
17.000000,-151.000000,468.265623
12.000000,-204.000000,714.569572
-81.000000,-572.000000,-2206.511913
180.000000,-423.000000,-505.957073
-310.000000,-407.000000,-1927.855097
38.000000,185.000000,-610.489292
65.000000,-349.000000,688.202171
48.000000,-412.000000,-35.398574
71.000000,-211.000000,-112.811209
-1.000000,-216.000000,-196.491893
-15.000000,307.000000,294.310444
-54.000000,98.000000,1701.920644
-13.000000,-331.000000,-378.912422
-742.000000,-126.000000,-702.420800
-936.000000,-88.000000,-853.628367
-589.000000,73.000000,-4993.905343
314.000000,198.000000,553.375969
5.000000,-573.000000,1019.225022
4.000000,-126.000000,-98.988119
-31.000000,-207.000000,2.437385
-171.000000,-661.000000,-288.652039
-349.000000,-426.000000,-809.251114
-70.000000,61.000000,-258.506509
-360.000000,86.000000,-1009.987148
-10.000000,314.000000,-189.312618
-67.000000,-234.000000,-41.846977
-27.000000,-80.000000,156.771692
-17.000000,372.000000,-401.990257
-562.000000,-3.000000,-2447.619104
196.000000,-608.000000,-1077.874005
-10.000000,65.000000,801.274669
65.000000,268.000000,185.857387
80.000000,-60.000000,441.053476
64.000000,74.000000,481.477406
-6.000000,363.000000,-219.804688
-9.000000,203.000000,-2123.390564
60.000000,52.000000,138.935570
76.000000,64.000000,-1038.408021
48.000000,-267.000000,313.996075
-9.000000,150.000000,-74.348824
-33.000000,-172.000000,146.389497
23.000000,-252.000000,-75.245514
71.000000,-247.000000,-1187.486252
4.000000,436.000000,-155.831756
104.000000,-239.000000,-81.217970
-61.000000,-495.000000,-170.263289
-1.000000,-117.000000,289.761440
57.000000,-302.000000,179.909858
572.000000,633.000000,4850.535618
-286.000000,304.000000,-3488.595689
37.000000,-23.000000,-225.712269
239.000000,14.000000,-102.777432
-104.000000,508.000000,606.803605
275.000000,-41.000000,789.871690
499.000000,109.000000,2347.361728
30.000000,-12.000000,-410.657303
-485.000000,78.000000,-3628.424191
-472.000000,-138.000000,-3122.288433
15.000000,-210.000000,319.295527
36.000000,-135.000000,-76.949848
-23.000000,-63.000000,-462.704270
58.000000,-324.000000,-181.457478
53.000000,-168.000000,168.317058
-20.000000,9.000000,-144.809515
-32.000000,79.000000,48.819345
-33.000000,-176.000000,11.995571
-116.000000,38.000000,-189.978470
-144.000000,165.000000,-308.165415
404.000000,143.000000,1231.699860
-27.000000,30.000000,-69.387643
-445.000000,187.000000,-1689.081062
-43.000000,-179.000000,-3471.793936
6.000000,-615.000000,-308.743589
273.000000,398.000000,1120.999994
